system,session_id,question_id,question,level,trace,n_turns,tutor_turns,student_turns,parsed_turn_ratio,student_tokens,tutor_tokens,token_balance_student_share,tutor_student_token_ratio,student_math,tutor_math,total_math,vai,math_density,student_reasoning_turns,student_reasoning_rate,direct_answer_leakage,non_vietnamese_leakage,reflection_required,reflection_completed,reflection_completion,phase_valid,solve_reached,gps_complete,premature_solve,skipped_guide,skipped_practice,stall,guide_loop,practice_pressure,max_same_phase_run,n_guide,n_practice,n_solve,phase_balance_entropy,degeneracy_flag,answer_dependency_index,autonomy_process_score
Human Pilot (GPS),HUMAN_SES_5f6ada_HS_AN,18,18,Giỏi,G-P-S,6,3,3,0.6,70,69,0.5035971223021583,0.9857142857142858,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_9bee93_HS_AN,19,19,Giỏi,G-P-S,6,3,3,0.75,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
Human Pilot (GPS),HUMAN_SES_f3a267_HS_AN,20,20,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_ef41ef_HS_AN,21,21,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_9b605e_HS_AN,22,22,Giỏi,G-P-S,6,3,3,0.6666666666666666,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
Human Pilot (GPS),HUMAN_SES_e71d2f_HS_AN,23,23,Giỏi,G-P-S,6,3,3,0.6,69,69,0.5,1.0,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
Human Pilot (GPS),HUMAN_SES_8e5d68_HS_AN,24,24,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_7778bd_HS_AN,25,25,Giỏi,G-P-S,6,3,3,1.0,64,69,0.48120300751879697,1.078125,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_9dc4da_HS_AN,26,26,Giỏi,G-P-S,6,3,3,0.75,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_740379_HS_AN,27,27,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_0a3f6a_HS_AN,28,28,Giỏi,G-P-S,6,3,3,0.75,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_2aab23_HS_AN,29,29,Giỏi,G-P-S,6,3,3,1.0,69,69,0.5,1.0,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_40d06e_HS_AN,30,30,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_af38b1_HS_AN,31,31,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_770694_HS_AN,32,32,Giỏi,G-P-S,6,3,3,1.0,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_18e746_HS_AN,33,33,Giỏi,G-P-S,6,3,3,1.0,69,69,0.5,1.0,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
Human Pilot (GPS),HUMAN_SES_d697e1_HS_AN,34,34,Giỏi,G-P-S,6,3,3,1.0,67,69,0.49264705882352944,1.0298507462686568,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_d14fc8_HS_AN,35,35,Giỏi,G-P-S,6,3,3,1.0,65,69,0.48507462686567165,1.0615384615384615,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_5f6f90_HS_AN,36,36,Giỏi,G-P-S,6,3,3,1.0,65,69,0.48507462686567165,1.0615384615384615,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_7fe921_HS_AN,37,37,Giỏi,G-P-S,6,3,3,1.0,68,69,0.49635036496350365,1.0147058823529411,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_9c1467_HS_AN,38,38,Giỏi,G-P-S,6,3,3,1.0,65,69,0.48507462686567165,1.0615384615384615,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_ef0e8a_HS_AN,39,39,Giỏi,G-P-S,6,3,3,1.0,70,69,0.5035971223021583,0.9857142857142858,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_8c3667_HS_AN,40,40,Giỏi,G-P-S,6,3,3,1.0,70,69,0.5035971223021583,0.9857142857142858,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_3d57fc_HS_AN,41,41,Giỏi,G-P-S,6,3,3,1.0,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_e6f4a4_HS_AN,42,42,Giỏi,G-P-S,6,3,3,0.6,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,1,0.3333333333333333,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.5833333333333333
Human Pilot (GPS),HUMAN_SES_d080e3_HS_AN,43,43,Giỏi,G-P-S,6,3,3,0.6666666666666666,66,69,0.4888888888888889,1.0454545454545454,0,0,0,0.0,0.0,3,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_cffde5_HS_AN,44,44,Giỏi,G-P-S,6,3,3,1.0,65,69,0.48507462686567165,1.0615384615384615,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_ea08c1_HS_AN,45,45,Giỏi,G-P-S,6,3,3,1.0,65,69,0.48507462686567165,1.0615384615384615,0,0,0,0.0,0.0,2,0.6666666666666666,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1.0,0,0.0,0.6666666666666666
Human Pilot (GPS),HUMAN_SES_cffcf5_HS_BINH,1,1,Yếu,G-G-P-P-S,10,5,5,0.7692307692307693,89,114,0.43842364532019706,1.2808988764044944,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_a1a26b_HS_BINH,2,2,Yếu,G-G-P-P-S,10,5,5,0.7142857142857143,88,114,0.43564356435643564,1.2954545454545454,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_025217_HS_BINH,3,3,Yếu,G-G-P-P-S,10,5,5,0.7142857142857143,90,114,0.4411764705882353,1.2666666666666666,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_13c43a_HS_BINH,4,4,Yếu,G-G-P-P-S,10,5,5,0.7142857142857143,90,114,0.4411764705882353,1.2666666666666666,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_746162_HS_BINH,5,5,Yếu,G-G-P-P-S,10,5,5,0.7692307692307693,88,114,0.43564356435643564,1.2954545454545454,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_e693b1_HS_BINH,6,6,Yếu,G-G-P-P-S,10,5,5,1.0,92,120,0.4339622641509434,1.3043478260869565,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_d9a3e1_HS_BINH,7,7,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,92,132,0.4107142857142857,1.434782608695652,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_523be8_HS_BINH,8,8,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,92,132,0.4107142857142857,1.434782608695652,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_1160e2_HS_BINH,9,9,Yếu,G-G-P-P-S,10,5,5,1.0,92,132,0.4107142857142857,1.434782608695652,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_07974f_HS_BINH,10,10,Yếu,G-G-P-P-S,10,5,5,1.0,88,128,0.4074074074074074,1.4545454545454546,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_f4be78_HS_BINH,11,11,Yếu,G-G-P-P-S,10,5,5,1.0,90,132,0.40540540540540543,1.4666666666666666,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_ebcbb9_HS_BINH,12,12,Yếu,G-G-P-P-S,10,5,5,1.0,88,128,0.4074074074074074,1.4545454545454546,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_01fab1_HS_BINH,13,13,Yếu,G-G-P-P-S,10,5,5,1.0,91,130,0.4117647058823529,1.4285714285714286,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_c40516_HS_BINH,14,14,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,90,132,0.40540540540540543,1.4666666666666666,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_f38316_HS_BINH,15,15,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,90,132,0.40540540540540543,1.4666666666666666,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_bb7cce_HS_BINH,16,16,Yếu,G-G-P-P-S,10,5,5,0.625,90,116,0.4368932038834951,1.288888888888889,0,0,0,0.0,0.0,2,0.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.6
Human Pilot (GPS),HUMAN_SES_0ef33b_HS_BINH,17,17,Yếu,G-G-P-P-S,10,5,5,0.5,95,116,0.45023696682464454,1.2210526315789474,0,0,0,0.0,0.0,2,0.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.6
Human Pilot (GPS),HUMAN_SES_d31218_HS_BINH,18,18,Yếu,G-G-P-P-S,10,5,5,0.5,93,114,0.4492753623188406,1.2258064516129032,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_783ae3_HS_BINH,19,19,Yếu,G-G-P-P-S,10,5,5,0.45454545454545453,90,140,0.391304347826087,1.5555555555555556,0,0,0,0.0,0.0,2,0.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.6
Human Pilot (GPS),HUMAN_SES_0ff40a_HS_BINH,20,20,Yếu,G-G-P-P-S,10,5,5,1.0,88,128,0.4074074074074074,1.4545454545454546,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_104528_HS_BINH,21,21,Yếu,G-G-P-P-S,10,5,5,1.0,90,122,0.42452830188679247,1.3555555555555556,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_9556d2_HS_BINH,22,22,Yếu,G-G-P-P-S,10,5,5,0.5882352941176471,92,112,0.45098039215686275,1.2173913043478262,0,0,0,0.0,0.0,2,0.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.6
Human Pilot (GPS),HUMAN_SES_956139_HS_BINH,23,23,Yếu,G-G-P-P-S,10,5,5,0.5,93,114,0.4492753623188406,1.2258064516129032,0,0,0,0.0,0.0,2,0.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.6
Human Pilot (GPS),HUMAN_SES_39a469_HS_BINH,24,24,Yếu,G-G-P-P-S,10,5,5,1.0,89,124,0.41784037558685444,1.3932584269662922,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_0b4def_HS_BINH,25,25,Yếu,G-G-P-P-S,10,5,5,1.0,88,124,0.41509433962264153,1.4090909090909092,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_aee95e_HS_BINH,26,26,Yếu,G-G-P-P-S,10,5,5,0.625,90,118,0.4326923076923077,1.3111111111111111,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_beaf4b_HS_BINH,27,27,Yếu,G-G-P-P-S,10,5,5,1.0,91,132,0.4080717488789238,1.4505494505494505,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_75aa25_HS_BINH,28,28,Yếu,G-G-P-P-S,10,5,5,0.625,89,132,0.40271493212669685,1.4831460674157304,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_2b1781_HS_BINH,29,29,Yếu,G-G-P-P-S,10,5,5,1.0,93,130,0.4170403587443946,1.3978494623655915,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_f91cfe_HS_BINH,30,30,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,89,130,0.4063926940639269,1.4606741573033708,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_1800b4_HS_BINH,31,31,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,93,148,0.38589211618257263,1.5913978494623655,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_eedbe8_HS_BINH,32,32,Yếu,G-G-P-P-S,10,5,5,1.0,88,110,0.4444444444444444,1.25,0,0,0,0.0,0.0,4,0.8,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.7
Human Pilot (GPS),HUMAN_SES_516774_HS_BINH,33,33,Yếu,G-G-P-P-S,10,5,5,0.8333333333333334,93,140,0.39914163090128757,1.5053763440860215,0,0,0,0.0,0.0,2,0.4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.6
Human Pilot (GPS),HUMAN_SES_8e9cc6_HS_BINH,34,34,Yếu,G-G-P-P-S,10,5,5,1.0,90,126,0.4166666666666667,1.4,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_1f6926_HS_BINH,35,35,Yếu,G-G-P-P-S,10,5,5,1.0,88,124,0.41509433962264153,1.4090909090909092,0,0,0,0.0,0.0,5,1.0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.75
Human Pilot (GPS),HUMAN_SES_b85479_HS_BINH,36,36,Yếu,G-G-P-P-S,10,5,5,1.0,87,124,0.41232227488151657,1.4252873563218391,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_7a2d0d_HS_BINH,37,37,Yếu,G-G-P-P-S,10,5,5,1.0,90,128,0.41284403669724773,1.4222222222222223,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_2d495c_HS_BINH,38,38,Yếu,G-G-P-P-S,10,5,5,1.0,87,128,0.4046511627906977,1.471264367816092,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_7c3099_HS_BINH,39,39,Yếu,G-G-P-P-S,10,5,5,1.0,91,126,0.41935483870967744,1.3846153846153846,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
Human Pilot (GPS),HUMAN_SES_4b47a5_HS_BINH,40,40,Yếu,G-G-P-P-S,10,5,5,1.0,91,124,0.4232558139534884,1.3626373626373627,0,0,0,0.0,0.0,3,0.6,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,2,2,1,0.9602297178607612,0,0.0,0.65
