id,original_json_answer,recovered_answer,answer_recovered,n_options,malformed_or_blank_options,options_need_typesetting_repair,answer_key_source,solution_snippet
11,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 11: Một chiếc hộp đựng 7 viên bi màu xanh, 6 viên bi màu đen, 5 viên bi màu đỏ, 4 viên bi màu trắng. Chọn ngẫu nhiên ra 4 viên bi, tính xác suất để lấy được ít nhất 2 viên bi cùng màu. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 4 viên bi từ 22 viên bi đã cho. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Lấy được 4 viên bi trong đó có ít nhất hai viên bi cùng màu” . Để tìm số phần tử của , ta đi tìm số phần tử của biến cố , với biến cố là lấy được 4 viên"
12,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 12: Một hộp đựng 8 quả cầu trắng, 12 quả cầu đen. Lần thứ nhất lấy ngẫu nhiên 1 quả cầu trong hộp, lần thứ hai lấy ngẫu nhiên 1 quả cầu trong các quả cầu còn lại. Tính xác suất để kết quả của hai lần lấy được 2 quả cầu cùng màu. A. . B. . C. . D. Lời giải. Không gian mẫu là lấy 2 quả cầu trong hộp một cách lần lượt ngẫu nhiên. Suy ra số phần tử của không gian mẫu là Gọi biến cố ” 2 quả cầu được lấy cùng màu” . Ta có các trường hợp thuận lợi cho biến cố như sau: ● TH1: Lần thứ nhất lấy quả mà"
13,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 13: Một hộp chứa 12 viên bi kích thước như nhau, trong đó có 5 viên bi màu xanh được đánh số từ 1 đến 5; có 4 viên bi màu đỏ được đánh số từ 1 đến 4 và 3 viên bi màu vàng được đánh số từ 1 đến 3. Lấy ngẫu nhiên 2 viên bi từ hộp, tính xác suất để 2 viên bi được lấy vừa khác màu vừa khác số. A. . B. . C. . D. Lời giải. Không gian mẫu là số sách lấy tùy ý 2 viên từ hộp chứa 12 viên bi. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 2 viên bi được lấy vừa khác màu vừa khác số ” . ● Số "
14,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 14: Một hộp chứa 3 viên bi xanh, 5 viên bi đỏ và 6 viên bi vàng. Lấy ngẫu nhiên 6 viên bi từ hộp, tính xác suất để 6 viên bi được lấy ra có đủ cả ba màu. A. B. C. D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 6 viên bi từ hộp chứa 14 viên bi. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 6 viên bi được lấy ra có đủ cả ba màu” . Để tìm số phần tử của biến cố ta đi tìm số phần tử của biến cố tức là 6 viên bi lấy ra không có đủ ba màu như sau: ● TH1: Chọn 6 viên bi chỉ có mộ"
15,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 15: Trong một hộp có 50 viên bi được đánh số từ 1 đến 50. Chọn ngẫu nhiên 3 viên bi trong hộp, tính xác suất để tổng ba số trên 3 viên bi được chọn là một số chia hết cho 3. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 3 viên bi từ hộp chứa 50 viên bi. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 3 viên bi được chọn là một số chia hết cho 3” . Trong 50 viên bi được chia thành ba loại gồm: 16 viên bi có số chia hết cho 3; 17 viên bi có số chia cho 3 dư 1 v"
16,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 16: Cho tập hợp ; 1; 2; 3; 4; 5. Gọi là tập hợp các số có 3 chữ số khác nhau được lập thành từ các chữ số của tập . Chọn ngẫu nhiên một số từ ,tính xác suất để số được chọn có chữ số cuối gấp đôi chữ số đầu. A. . B. . C. . D. Lời giải. Gọi số cần tìm của tập có dạng . Trong đó Khi đó ● Số cách chọn chữ số có 5 cách chọn vì ● Số cách chọn chữ số có 5 cách chọn vì ● Số cách chọn chữ số có 4 cách chọn vì và Do đó tập có phần tử. Không gian mẫu là chọn ngẫu nhiên 1 số từ tập . Suy ra số phần tử "
17,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 17: Cho tập hợp . Gọi là tập hợp các số tự nhiên có 4 chữ số đôi một khác nhau được lập thành từ các chữ số của tập . Chọn ngẫu nhiên một số từ , tính xác suất để số được chọn mà trong mỗi số luôn luôn có mặt hai chữ số chẵn và hai chữ số lẻ. A. . B. . C. . D. Lời giải. Số phần tử của tập là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập . Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Số được chọn luôn luôn có mặt hai chữ số chẵn và hai chữ số lẻ ” . ● Số cách chọn hai chữ số chẵn "
18,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 18: Gọi là tập hợp các số tự nhiên có 3 chữ số đôi một khác nhau được lập thành từ các chữ số 1; 2; 3; 4; 6 . Chọn ngẫu nhiên một số từ , tính xác xuất để số được chọn chia hết cho 3 . A. . B. . C. . D. . Lời giải. Số phần tử của là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập . Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Số được chọn chia hết cho 3 ” . Từ 5 chữ số đã cho ta có 4 bộ gồm ba chữ số có tổng chia hết cho 3 là (1; 2; 3), (1; 2; 6), (2; 3; 4) và (2; 4; 6). Mỗi bộ ba "
19,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 19: Cho tập hợp ; 2; 3; 4; 5. Gọi là tập hợp tất cả các số tự nhiên có ít nhất 3 chữ số, các chữ số đôi một khác nhau được lập thành từ các chữ số thuộc tập . Chọn ngẫu nhiên một số từ , tính xác xuất để số được chọn có tổng các chữ số bằng 10 . A. . B. . C. . D. . Lời giải. Ta tính số phần tử thuộc tập như sau: ● Số các số thuộc có 3 chữ số là ● Số các số thuộc có 4 chữ số là ● Số các số thuộc có 5 chữ số là Suy ra số phần tử của tập là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập . Suy ra"
20,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 20: Một hộp đựng 10 chiếc thẻ được đánh số từ đến 9 . Lấy ngẫu nhiên ra 3 chiếc thẻ, tính xác suất để 3 chữ số trên 3 chiếc thẻ được lấy ra có thể ghép thành một số chia hết cho 5 . A. . B. . C. . D. Lời giải. Không gian mẫu là số cách lấy ngẫu nhiên 3 chiếc thẻ từ 10 chiếc thẻ. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 3 chữ số trên 3 chiếc thẻ được lấy ra có thể ghép thành một số chia hết cho 5 ” . Để cho biến cố xảy ra thì trong 3 thẻ lấy được phải có thẻ mang chữ số hoặc c"
21,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 21: Có 20 tấm thẻ được đánh số từ 1 đến 20 . Chọn ngẫu nhiên ra 8 tấm thẻ, tính xác suất để có 3 tấm thẻ mang số lẻ, 5 tấm thẻ mang số chẵn trong đó chỉ có đúng 1 tấm thẻ mang số chia hết cho 10 . A. . B. . C. . D. Lời giải. Không gian mẫu là cách chọn 8 tấm thể trong 20 tấm thẻ. Suy ra số phần tử của không mẫu là Gọi là biến cố ” 3 tấm thẻ mang số lẻ, 5 tấm thẻ mang số chẵn trong đó chỉ có đúng 1 tấm thẻ mang số chia hết cho 10 ” . Để tìm số phần tử của ta làm như sau: ● Đầu tiên chọn 3 tấm"
22,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker",Câu 22: Gọi là tập hợp các số tự nhiên có hai chữ số. Chọn ngẫu nhiên đồng thời hai số từ tập hợp . Tính xác suất để hai số được chọn có chữ số hàng đơn vị giống nhau. A. . B. . C. . D. Lời giải. Số phần tử của tập là Không gian mẫu là chọn ngẫu nhiên 2 số từ tập . Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Số được chọn có chữ số hàng đơn vị giống nhau” . Ta mô tả không gian của biến cố như sau: ● Có 10 cách chọn chữ số hàng đơn vị (chọn từ các chữ số ; 1; 2; 3 9}). ● Có cách chọn 
23,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 23: Gọi là tập hợp các số tự nhiên gồm 9 chữ số khác nhau. Chọn ngẫu nhiên một số từ, tính xác suất để chọn được một số gồm 4 chữ số lẻ và chữ số luôn đứng giữa hai chữ số lẻ (hai số hai bên chữ số là số lẻ). A. . B. . C. . D. Lời giải. Số phần tử của tập là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập . Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Số được chọn gồm 4 chữ số lẻ và chữ số luôn đứng giữa hai chữ số lẻ ” . Do số luôn đứng giữa 2 số lẻ nên số không đứng ở vị trí đầu "
24,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 24: Giải bóng chuyền VTV Cup gồm 9 đội bóng tham dự, trong đó có 6 đội nước ngoài và 3 đội của Việt Nam. Ban tổ chức cho bốc thăm ngẫu nhiên để chia thành 3 bảng và mỗi bảng có 3đội. Tính xác suất để 3 đội bóng của Việt Nam ở 3 bảng khác nhau. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chia tùy ý 9 đội thành 3 bảng. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 3 đội bóng của Việt Nam ở 3 bảng khác nhau ● Bước 1. Xếp 3 đội Việt Nam ở 3 bảng khác nhau nên có 3! cách. ● B"
25,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 25: Trong giải cầu lông kỷ niệm ngày truyền thống học sinh sinh viên có 8 người tham gia trong đó có hai bạn Việt và Nam. Các vận động viên được chia làm hai bảng và , mỗi bảng gồm 4 người. Giả sử việc chia bảng thực hiện bằng cách bốc thăm ngẫu nhiên, tính xác suất để cả 2 bạn Việt và Nam nằm chung 1 bảng đấu. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chia tùy ý 8 người thành 2 bảng. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 2 bạn Việt và Nam nằm chung 1 bảng đấu "
26,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 26: Một bộ đề thi toán học sinh giỏi lớp 12 mà mỗi đề gồm 5 câu được chọn từ 15 câu dễ, 10 câu trung bình và 5 câu khó. Một đề thi được gọi là” Tốt ” nếu trong đề thi có cả ba câu dễ, trung bình và khó, đồng thời số câu dễ không ít hơn 2 . Lấy ngẫu nhiên một đề thi trong bộ đề trên. Tìm xác suất để đề thi lấy ra là một đề thi ” Tốt ” . A. . B. . C. . D. Lời giải. Số phần tử của không gian mẫu là Gọi là biến cố ” Đề thi lấy ra là một đề thi ” Tốt ” Vì trong một đề thi ” Tốt ” có cả ba câu dễ,"
27,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 27: Trong một kỳ thi vấn đáp thí sinh phải đứng trước ban giám khảo chọn ngẫu nhiên 3 phiếu câu hỏi từ một thùng phiếu gồm 50 phiếu câu hỏi, trong đó có 4 cặp phiếu câu hỏi mà mỗi cặp phiếu có nội dung khác nhau từng đôi một và trong mỗi một cặp phiếu có nội dung giống nhau. Tính xác suất để thí sinh chọn được 3 phiếu câu hỏi có nội dung khác nhau. A. B. . C. . D. Lời giải. Không gian mẫu là số cách chọn tùy ý 3 phiếu câu hỏi từ 50 phiếu câu hỏi. Suy ra số phần tử của không gian mẫu là Gọi l"
28,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 28: Trong kỳ thi THPT Quốc Gia năm 2016 có môn thi bắt buộc là môn Tiếng Anh. Môn thi này thi dưới hình thức trắc nghiệm với 4 phương án trả lời , D. Mỗi câu trả lời đúng được cộng 0,2 điểm và mỗi câu trả lời sai bị trừ đi 0,1 điểm. Bạn Hoa vì học rất kém môn Tiếng Anh nên chọn ngẫu nhiên cả 50 câu trả lời. Tính xác xuất để bạn Hoa đạt được 4 điểm môn Tiếng Anh trong kỳ thi trên. A. . B. . C. . D. Lời giải. Gọi là số câu trả lời đúng, suy ra là số câu trả lời sai. Ta có số điểm của Hoa là 0,"
29,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 29: Có 6 học sinh lớp 11 và 3 học sinh lớp 12 được xếp ngẫu nhiên vào 9 ghế thành một dãy. Tính xác suất để xếp được 3 học sinh lớp 12 xen kẽ giữa 6 học sinh lớp 11 . A. . B. . C. . D. Lời giải. Không gian mẫu là số cách sắp xếp tất cả 9 học sinh vào một ghế dài. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Xếp 3 học sinh lớp 12 xen kẽ giữa 6 học sinh lớp 11 ” . Ta mô tả khả năng thuận lợi của biến cố như sau: ● Đầu tiên xếp 6 học sinh lớp 11 thành một dãy, có 6! cách. ● Sau đó x"
30,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 30: Đội tuyển học sinh giỏi của một trường THPT có 8 học sinh nam và 4 học sinh nữ. Trong buổi lễ trao phần thưởng, các học sinh trên được xếp thành một hàng ngang. Tính xác suất để khi xếp sao cho 2 học sinh nữ không đứng cạnh nhau. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách sắp xếp tất cả 12 học sinh thành một hàng ngang. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Xếp các học sinh trên thành một hàng ngang mà 2 học sinh nữ không đứng cạnh nhau” . Ta mô tả khả năng "
31,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 31: Có 3 bì thư giống nhau lần lượt được đánh số thứ tự từ 1 đến 3 và 3 con tem giống nhau lần lượt đánh số thứ tự từ 1 đến 3 . Dán 3 con tem đó vào 3 bì thư sao cho không có bì thư nào không có tem. Tính xác suất để lấy ra được 2 bì thư trong 3 bì thư trên sao cho mỗi bì thư đều có số thứ tự giống với số thứ tự con tem đã dán vào nó. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách dán 3 con tem trên 3 bì thư, tức là hoán vị của 3 con tem trên 3 bì thư. Suy ra số phần tử của không gian"
32,,A,True,6,1,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 32: Trong thư viện có 12 quyển sách gồm 3 quyển Toán giống nhau, 3 quyển Lý giống nhau, 3 quyển Hóa giống nhau và 3 quyển Sinh giống nhau. Có bao nhiêu cách xếp thành một dãy sao cho 3 quyển sách thuộc cung 1 môn không được xếp liền nhau? A. 16800. B. 1680. C. 140. D. 4200. Lời giải. Xếp 3 cuốn sách Toán kề nhau. Xem 3 cuốn sách Toán là 3 vách ngăn, giữa 3 cuốn sách Toán có 2 vị trí trống và thêm hai vị trí hai đầu, tổng cộng có 4 vị trí trống. Bước 1. Chọn 3 vị trí trống trong 4 vị trí để x"
33,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 33: Xếp 6 học sinh nam và 4 học sinh nữ vào một bàn tròn 10 ghế. Tính xác suất để không có hai học sinh nữ ngồi cạnh nhau. A. . B. . C. . D. Lời giải. Cố định 1 vị trí cho một học sinh nam (hoặc nữ), đánh dấu các ghế còn lại từ 1 đến 9. Không gian mẫu là hoán vị 9 học sinh (còn lại không cố định) trên 9 ghế đánh dấu. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” không có hai học sinh nữ ngồi cạnh nhau” . Ta mô tả khả năng thuận lợi của biến cố như sau: ● Đầu tiên ta cố định 1 học "
34,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 34: Có 4 hành khách bước lên một đoàn tàu gồm 4 toa. Mỗi hành khách độc lập với nhau và chọn ngẫu nhiên một toa. Tính xác suất để 1 toa có 3 người, 1 toa có 1 người, 2 toa còn lại không có ai. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách sắp xếp 4 hành khách lên 4 toa tàu. Vì mỗi hành khách có 4 cách chọn toa nên có cách xếp. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 1 toa có 3 người, 1 toa có 1 người, 2 toa còn lại không có ai ” . Để tìm số phần tử của , ta chia làm "
35,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 35: Có 8 người khách bước ngẫu nhiên vào một cửa hàng có 3 quầy. Tính xác suất để 3 người cùng đến quầy thứ nhất. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách sắp xếp 8 người khách vào 3 quầy. Vì mỗi người khách có 3 cách chọn quầy nên có khả năng xảy ra. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Có 3 người cùng đến quầy thứ nhất, 5 người còn lại đến quầy thứ hai hoặc ba” . Để tìm số phần tử của , ta chia làm hai giai đoạn như sau: ● Giai đoạn thứ nhất. Chọn 3 người k"
36,D,D,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 36: Trong một buổi liên hoan có 10 cặp nam nữ, trong đó có 4 cặp vợ chồng. Chọn ngẫu nhiên 3 người để biểu diễn một tiết mục văn nghệ. Tính xác suất để 3 người được chọn không có cặp vợ chồng nào. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 3 người trong 20 người. Suy ra số phần tử không gian mẫu là Gọi là biến cố ” 3 người được chọn không có cặp vợ chồng nào Để tìm số phần tử của , ta đi tìm số phần tử của biến cố , với biến cố là 3 người được chọn luôn có 1 cặp vợ"
37,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 37: Một lớp học có 40 học sinh trong đó có 4 cặp anh em sinh đôi. Trong buổi họp đầu năm thầy giáo chủ nhiệm lớp muốn chọn ra 3 học sinh để làm cán sự lớp gồm lớp trưởng, lớp phó và bí thư. Tính xác suất để chọn ra 3 học sinh làm cán sự lớp mà không có cặp anh em sinh đôi nào. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 3 học sinh trong 40 học sinh. Suy ra số phần tử không gian mẫu là Gọi là biến cố ” 3 học sinh được chọn không có cặp anh em sinh đôi nào Để tìm số p"
38,C,C,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 38: Một người có 10 đôi giày khác nhau và trong lúc đi du lịch vội vã lấy ngẫu nhiên 4 chiếc. Tính xác suất để trong 4 chiếc giày lấy ra có ít nhất một đôi. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn ngẫu nhiên 4 chiếc giày từ 20 chiếc giày. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 4 chiếc giày lấy ra có ít nhất một đôi Để tìm số phần tử của biến cố , ta đi tìm số phần tử của biến cố , với biến cố là 4 chiếc giày được chọn không có đôi nào. ● Số cách chọn 4 đô"
39,,A,True,6,1,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 39: Một trường THPT có 10 lớp 12 , mỗi lớp cử 3 học sinh tham gia vẽ tranh cổ động. Các lớp tiến hành bắt tay giao lưu với nhau (các học sinh cùng lớp không bắt tay với nhau). Tính số lần bắt tay của các học sinh với nhau, biết rằng hai học sinh khác nhau ở hai lớp khác nhau chỉ bắt tay đúng 1 lần. A. 405. B. 435. C. 30. D. 45. Lời giải. Mỗi lớp cử ra 3 học sinh nên 10 lớp cử ra 30 học sinh. Suy ra số lần bắt tay là (bao gồm các học sinh cùng lớp bắt tay với nhau). Số lần bắt tay của các học"
40,,A,True,6,5,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 40: Có 5 đoạn thẳng có độ dài lần lượt là và . Lấy ngẫu nhiên 3 đoạn thẳng trong 5 đoạn thẳng trên, tính xác suất để 3 đoạn thẳng lấy ra lập thành một tam giác. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách lấy 3 đoạn thẳng từ 5 đoạn thẳng. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” 3 đoạn thẳng lấy ra lập thành một tam giác ” . Để ba đoạn thẳng tạo thành một tam giác chỉ có các trường hợp: hoặc hoặc . Suy ra số phần tử của biến cố là Vậy xác suất cần tìm . Chọn A."
41,B,B,True,4,4,True,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 41: Trong mặt phẳng tọa độ Oxy . Ở góc phần tư thứ nhất ta lấy 2 điểm phân biệt; cứ thế ở các góc phần tư thứ hai, thứ ba, thứ tư ta lần lượt lấy 3, 4, 5 điểm phân biệt (các điểm không nằm trên các trục tọa độ). Trong 14 điểm đó ta lấy 2 điểm bất kỳ. Tính xác suất để đoạn thẳng nối hai điểm đó cắt hai trục tọa độ. A. . B. . C. . D. Lời giải. Không gian mẫu là số cách chọn 2 điểm bất kỳ trong 14 điểm đã cho. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Đoạn thẳng nối 2 điểm được c"
42,B,B,True,4,0,False,"raw_exam_text.txt solution section, final Chon/Chọn marker","Câu 42: Một lớp học có 30 học sinh gồm có cả nam và nữ. Chọn ngẫu nhiên 3 học sinh để tham gia hoạt động của Đoàn trường. Xác suất chọn được 2 nam và 1 nữ là Tính số học sinh nữ của lớp. A. 16. B. 14. C. 13. D. 17. Lời giải. Gọi số học sinh nữ của lớp là . Suy ra số học sinh nam là Không gian mẫu là chọn bất kì 3 học sinh từ 30 học sinh. Suy ra số phần tử của không gian mẫu là Gọi là biến cố ” Chọn được 2 học sinh nam và 1 học sinh nữ” . ● Chọn 2 nam trong nam, có cách. ● Chọn 1 nữ trong nữ, có "
