qid,original_json_answer,recovered_answer,answer_recovered,n_options,malformed_or_blank_options,options_need_typesetting_repair,answer_key_source,solution_snippet
17,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của tập  là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập  . Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Số được chọn luôn luôn có mặt hai chữ số chẵn và hai chữ số lẻ ” . ● Số cách chọn hai chữ số chẵn từ bốn chữ số 2; 4; 6; 8 là  cách. ● Số cách chọn hai chữ số lẻ từ ba chữ số 3; 5; 7 là  cách. ● Từ bốn chữ số được chọn ta lập số có bốn chữ số khác nhau, số cách lập tương ứng với một hoán vị của 4 phần tử nên có 4! cách. Suy ra số phần tử của biến cố  là Vậy xác suất c"
18,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của  là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập  . Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Số được chọn chia hết cho 3 ” . Từ 5 chữ số đã cho ta có 4 bộ gồm ba chữ số có tổng chia hết cho 3 là (1; 2; 3), (1; 2; 6), (2; 3; 4) và (2; 4; 6). Mỗi bộ ba chữ số này ta lập được  số thuộc tập hợp  . Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
19,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Ta tính số phần tử thuộc tập  như sau: ● Số các số thuộc  có 3 chữ số là ● Số các số thuộc  có 4 chữ số là ● Số các số thuộc  có 5 chữ số là Suy ra số phần tử của tập  là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập  . Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Số được chọn có tổng các chữ số bằng 10 ” . Các tập con của  có tổng số phần tử bằng 10 là ; 2; 3; 4 ; 3; 5 ; 4; 5 ● Từ  lập được các số thuộc  là 4! . ● Từ  lập được các số thuộc  là 3! . ● Từ  lập được các số thuộc  là 3
20,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách lấy ngẫu nhiên 3 chiếc thẻ từ 10 chiếc thẻ. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 3 chữ số trên 3 chiếc thẻ được lấy ra có thể ghép thành một số chia hết cho 5 ” . Để cho biến cố  xảy ra thì trong 3 thẻ lấy được phải có thẻ mang chữ số  hoặc chữ số 5 . Ta đi tìm số phần tử của biến cố  , tức 3 thẻ lấy ra không có thẻ mang chữ số  và cũng không có thẻ mang chữ số 5 là  cách. Suy ra số phần tử của biến cố  là"
21,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là cách chọn 8 tấm thể trong 20 tấm thẻ. Suy ra số phần tử của không mẫu là Gọi  là biến cố ” 3 tấm thẻ mang số lẻ, 5 tấm thẻ mang số chẵn trong đó chỉ có đúng 1 tấm thẻ mang số chia hết cho 10 ” . Để tìm số phần tử của  ta làm như sau: ● Đầu tiên chọn 3 tấm thẻ trong 10 tấm thẻ mang số lẻ, có  cách. ● Tiếp theo chọn 4 tấm thẻ trong 8 tấm thẻ mang số chẵn (không chia hết cho 10 ), có  cách. ● Sau cùng ta chọn 1 trong 2 tấm thẻ mang số chia hết cho 10 , có  cách. Suy ra số phần tử "
22,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Số phần tử của tập  là Không gian mẫu là chọn ngẫu nhiên 2 số từ tập  . Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Số được chọn có chữ số hàng đơn vị giống nhau” . Ta mô tả không gian của biến cố  như sau: ● Có 10 cách chọn chữ số hàng đơn vị (chọn từ các chữ số ; 1; 2; 3 9}). ● Có  cách chọn hai chữ số hàng chục (chọn từ các chữ số {1; 2; 3 9}). Suy ra số phần tử của biến cố  là
23,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của tập  là Không gian mẫu là chọn ngẫu nhiên 1 số từ tập  . Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Số được chọn gồm 4 chữ số lẻ và chữ số  luôn đứng giữa hai chữ số lẻ ” . Do số  luôn đứng giữa 2 số lẻ nên số  không đứng ở vị trí đầu tiên và vị trí cuối cùng. Ta có các khả năng ● Chọn 1 trong 7 vị trí để xếp số  , có  cách. ● Chọn 2 trong 5 số lẻ và xếp vào 2 vị trí cạnh số  vừa xếp, có  cách. ● Chọn 2 số lẻ trong 3 số lẻ còn lại và chọn 4 số chẵn từ {2; 4; 6; 8} s"
24,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Không gian mẫu là số cách chia tùy ý 9 đội thành 3 bảng. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 3 đội bóng của Việt Nam ở 3 bảng khác nhau ● Bước 1. Xếp 3 đội Việt Nam ở 3 bảng khác nhau nên có 3! cách. ● Bước 2. Xếp 6 đội còn lại vào 3 bảng    này có  cách. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính .
25,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Không gian mẫu là số cách chia tùy ý 8 người thành 2 bảng. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 2 bạn Việt và Nam nằm chung 1 bảng đấu ● Bước 1. Xếp 2 bạn Việt và Nam nằm chung 1 bảng đấu nên có  cách. ● Bước 2. Xếp 6 bạn còn lại vào 2 bảng   cho đủ mỗi bảng là 4 bạn thì có cách. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính .
26,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Số phần tử của không gian mẫu là Gọi  là biến cố ” Đề thi lấy ra là một đề thi ” Tốt ” Vì trong một đề thi ” Tốt ” có cả ba câu dễ, trung bình và khó, đồng thời số câu dễ không ít hơn 2 nên ta có các trường hợp sau đây thuận lợi cho biến cố. ● Đề thi gồm 3 câu dễ, 1 câu trung bình và 1 câu khó: có  đề. ● Đề thi gồm 2 câu dễ, 2 câu trung bình và 1 câu khó: có  đề. ● Đề thi gồm 2 câu dễ, 1 câu trung bình và 2 câu khó: có  đề. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
27,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn tùy ý 3 phiếu câu hỏi từ 50 phiếu câu hỏi. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Thí   chọn được 3 phiếu câu hỏi khác nhau” . Để tìm số phần tử của  ta tìm số phần tử của biến cố  , lúc này cần chọn được 1 cặp trong 4 cặp phiếu có câu hỏi giống nhau và chọn 1 phiếu trong 48 phiếu còn lại. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính"
28,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Gọi  là số câu trả lời đúng, suy ra  là số câu trả lời sai. Ta có số điểm của Hoa là 0,  ) Do đó bạn Hoa trả lời đúng 30 câu và sai 20 câu. Không gian mẫu là số phương án trả lời 50 câu hỏi mà bạn Hoa chọn ngẫu nhiên. Mỗi câu có 4 phương án trả lời nên có  khả năng. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Bạn Hoa trả lời đúng 30 câu và sai 20 câu” . Vì mỗi câu đúng có 1 phương án trả lời, mỗi câu sai có 3 phương án trả lời. Vì vậy có  . ( 3) khả năng thuận lợi cho biến cố  . Su"
29,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách sắp xếp tất cả 9 học sinh vào một ghế dài. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Xếp 3 học sinh lớp 12 xen kẽ giữa 6 học sinh lớp 11 ” . Ta mô tả khả năng thuận lợi của biến cố  như sau: ● Đầu tiên xếp 6 học sinh lớp 11 thành một dãy, có 6! cách. ● Sau đó xem 6 học sinh này như 6 vách ngăn nên có 7 vị trí để xếp 3 học sinh lớp 12 (gồm 5 vị trí giữa 6 học sinh và 2 vị trí hai đầu). Do đó có  cách xếp 3 học sinh lớp 12 . Suy ra số phần tử của biến cố  "
30,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách sắp xếp tất cả 12 học sinh thành một hàng ngang. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Xếp các học sinh trên thành một hàng ngang mà 2 học sinh nữ không đứng cạnh nhau” . Ta mô tả khả năng thuận lợi của biến cố  như sau: ● Đầu tiên xếp 8 học sinh nam thành một hàng ngang, có 8! cách. ● Sau đó xem 8 học sinh này như 8 vách ngăn nên có 9 vị trí để xếp 4 học sinh nữ thỏa yêu cầu bài toán (gồm 7 vị trí giữa 8 học sinh và 2 vị trí hai đầu). Do đó có cách "
31,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách dán 3 con tem trên 3 bì thư, tức là hoán vị của 3 con tem trên 3 bì thư. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 2 bì thư lấy ra có số thứ tự giống với số thứ tự con tem đã dán vào nó ” . Thế thì bì thư còn lại cũng có số thứ tự giống với số thứ tự con tem đã dán vào nó. Trường hợp này có 1 cách duy nhất. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
32,,A,True,6,1,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Xếp 3 cuốn sách Toán kề nhau. Xem 3 cuốn sách Toán là 3 vách ngăn, giữa 3 cuốn sách Toán có 2 vị trí trống và thêm hai vị trí hai đầu, tổng cộng có 4 vị trí trống. Bước 1. Chọn 3 vị trí trống trong 4 vị trí để xếp 3 cuốn Lý, có  cách. Bước 2. Giữa 6 cuốn Lý và Toán có 5 vị trí trống và thêm 2 vị trí hai đầu, tổng cộng có 7 vị trí trống. Chọn 3 vị trí trong 7 vị trí trống để xếp 3 cuốn Hóa, có  cách. Bước 3. Giữa 9 cuốn sách Toán, Lý và Hóa đã xếp có 8 vị trí trống và thêm 2 vị trí hai đầu, tổng "
33,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Cố định 1 vị trí cho một học sinh nam (hoặc nữ), đánh dấu các ghế còn lại từ 1 đến 9. Không gian mẫu là hoán vị 9 học sinh (còn lại không cố định) trên 9 ghế đánh dấu. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” không có hai học sinh nữ ngồi cạnh nhau” . Ta mô tả khả năng thuận lợi của biến cố  như sau: ● Đầu tiên ta cố định 1 học sinh nam, 5 học sinh nam còn lại có 5! cách xếp. ● Ta xem 6 học sinh nam như 6 vách ngăn trên vòng tròn, thế thì sẽ tạo ra 6 ô trống để ta xếp 4 học sinh"
34,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách sắp xếp 4 hành khách lên 4 toa tàu. Vì mỗi hành khách có 4 cách chọn toa nên có  cách xếp. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 1 toa có 3 người, 1 toa có 1 người, 2 toa còn lại không có ai ” . Để tìm số phần tử của , ta chia làm hai giai đoạn như sau: ● Giai đoạn thứ nhất. Chọn 3 hành khách trong 4 hành khách, chọn 1 toa trong 4 toa và xếp lên toa đó 3 hành khách vừa chọn. Suy ra có  cách. ● Giai đoạn thứ hai. Chọn 1 toa trong 3 toa còn lại và xếp "
35,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách sắp xếp 8 người khách vào 3 quầy. Vì mỗi người khách có 3 cách chọn quầy nên có  khả năng xảy ra. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Có 3 người cùng đến quầy thứ nhất, 5 người còn lại đến quầy thứ hai hoặc ba” . Để tìm số phần tử của  , ta chia làm hai giai đoạn như sau: ● Giai đoạn thứ nhất. Chọn 3 người khách trong 8 người khách và cho đến quầy thứ nhất, có  cách. ● Giai đoạn thứ hai. Còn lại 5 người khách xếp vào 2 quầy. Mỗi người khách có 2 cá"
36,D,D,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 3 người trong 20 người. Suy ra số phần tử không gian mẫu là Gọi  là biến cố ” 3 người được chọn không có cặp vợ chồng nào Để tìm số phần tử của  , ta đi tìm số phần tử của biến cố  , với biến cố  là 3 người được chọn luôn có 1 cặp vợ chồng. ● Chọn 1 cặp vợ chồng trong 4 cặp vợ chồng, có  cách. ● Chọn thêm 1 người trong 18 người, có  cách. Suy ra số phần tử của biến cố  là Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
37,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 3 học sinh trong 40 học sinh. Suy ra số phần tử không gian mẫu là Gọi  là biến cố ” 3 học sinh được chọn không có cặp anh em sinh đôi nào Để tìm số phần tử của , ta đi tìm số phần tử của biến cố  , với biến cố  là 3 học sinh được chọn luôn có 1 cặp anh em sinh đôi. ● Chọn 1 cặp em sinh đôi trong 4 cặp em  đôi, có  cách. ● Chọn thêm 1 học sinh trong 38 học sinh, có  cách. Suy ra số phần tử của biến cố  là Suy ra số phần tử của biến cố  là"
38,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn ngẫu nhiên 4 chiếc giày từ 20 chiếc giày. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 4 chiếc giày lấy ra có ít nhất một đôi Để tìm số phần tử của biến cố  , ta đi tìm số phần tử của biến cố  , với biến cố  là 4 chiếc giày được chọn không có đôi nào. ● Số cách chọn 4 đôi giày từ 10 đôi giày là ● Mỗi đôi chọn ra 1 chiếc, thế thì mỗi chiếc có  cách chọn. Suy ra 4 chiếc có cách chọn. Suy ra số phần tử của biến cố  là Suy ra số phần tử của biến cố  là Vậy"
39,,A,True,6,1,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Mỗi lớp cử ra 3 học sinh nên 10 lớp cử ra 30 học sinh. Suy ra số lần bắt tay là  (bao gồm các học sinh cùng lớp bắt tay với nhau). Số lần bắt tay của các học sinh học cùng một lớp là
40,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Không gian mẫu là số cách lấy 3 đoạn thẳng từ 5 đoạn thẳng. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 3 đoạn thẳng lấy ra lập thành một tam giác ” . Để ba đoạn thẳng tạo thành một tam giác chỉ có các trường hợp:  hoặc hoặc  . Suy ra số phần tử của biến cố  là
41,B,B,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách chọn 2 điểm bất kỳ trong 14 điểm đã cho. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Đoạn thẳng nối 2 điểm được chọn cắt hai trục tọa độ ” . Để xảy ra biến cố  thì hai đầu đoạn thẳng đó phải ở góc phần tư thứ nhất và thứ ba hoặc phần tư thứ hai và thứ tư. ● Hai đầu đoạn thẳng ở góc phần tư thứ nhất và thứ ba, có  cách. ● Hai đầu đoạn thẳng ở góc phần tư thứ hai và thứ tư, có  cách. Suy ra số phần tử của biến cố  là Vậy xác suất cần tính ."
42,B,B,True,4,0,False,raw_exam_text.txt solution section; final Chọn/Chon marker,"Gọi số học sinh nữ của lớp là   . Suy ra số học sinh nam là Không gian mẫu là chọn bất kì 3 học sinh từ 30 học sinh. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Chọn được 2 học sinh nam và 1 học sinh nữ” . ● Chọn 2 nam trong  nam, có  cách. ● Chọn 1 nữ trong  nữ, có  cách. Suy ra số phần tử của biến cố  là Do đó xác suất của biến cố  là Theo giả thiết, ta có Vậy số học sinh nữ của lớp là 14 học sinh."
43,,A,True,6,1,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Gọi số đoàn viên trong chi đoàn đó là   . Suy ra số đoàn viên nam trong chi đoàn là Xác suất để lập đội TNTN trong đó có 3 nữ là  . Xác suất để lập đội TNTN có toàn nam là Theo giả thiết, ta có"
44,C,C,True,4,4,True,raw_exam_text.txt solution section; final Chọn/Chon marker,Không gian mẫu là mỗi người lấy ngẫu nhiên 1 phiếu. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” Người thứ ba lấy được phiếu trúng thưởng ” . Ta mô tả khả năng thuận lợi của biến cố  như sau: ● Người thứ ba có  khả năng lấy được phiếu trúng thưởng. ● 9 người còn lại có số cách lấy phiếu là 9! . Suy ra số phần tử của biến cố  là Vậy xác suất cần tính .
45,,A,True,6,5,True,raw_exam_text.txt solution section; final Chọn/Chon marker,"Không gian mẫu là số cách ngẫu nhiên chỗ ngồi trong 4 lần thi của Nam. Suy ra số phần tử của không gian mẫu là Gọi  là biến cố ” 4 lần thi thì bạn Nam có đúng 2 lần ngồi cùng vào một vị trí ” . Ta mô tả không gian của biến cố  như sau: ● Trong 4 lần có 2 lần trùng vị trí, có  cách. ● Giả sử lần thứ nhất có 24 cách chọn chỗ ngồi, lần thứ hai trùng với lần thứ nhất có 1 cách chọn chỗ ngồi. Hai lần còn lại thứ ba và thứ tư không trùng với các lần trước và cũng không trùng nhau nên có 23.22 cách. Su"
