Timestamp,Student ID,Profile,Question,AI Response,Difficulty (1-5),GPS Step (Truth),Thinking Time (minutes),Progress Factor,Student Response
16/03/2026 12:52:00,HS08,trung bình,"Gieo một con xúc xắc cân đối đồng chất 2 lần, tính xác suất để biến cố có tích 2 lần số chấm khi gieo xúc xắc là một số chẵn.",[P] Thầy hướng dẫn nhé: Gọi ,5,P,81,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 13:17:00,HS60,giỏi,Xếp 6 học sinh nam và 4 học sinh nữ vào một bàn tròn 10 ghế. Tính xác suất để không có hai học sinh nữ ngồi cạnh nhau.,"[S] Chính xác! Đáp án đúng là B. Cố định 1 vị trí cho một học sinh nam (hoặc nữ), đánh dấu các ghế còn lại ",5,S,10,0.05,Em tính dùng biến cố bù cho nhanh. (Q33)
16/03/2026 13:31:00,HS60,giỏi,"Trong giải cầu lông kỷ niệm ngày truyền thống học sinh sinh viên có 8 người tham gia trong đó có hai bạn Việt và Nam. Các vận động viên được chia làm hai bảng A và B , mỗi bảng gồm 4 người. Giả sử việc chia bảng thực hiện bằng cách bốc thăm ngẫu nhiên, tính xác suất để cả 2 bạn Việt và Nam nằm chung 1 bảng đấu.",[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách chia tùy ý 8 người thành 2 bảng. ,5,S,6,0.05,Câu này em giải như sau: (Q25)
16/03/2026 13:41:00,HS60,giỏi,"Trong thư viện có 12 quyển sách gồm 3 quyển Toán giống nhau, 3 quyển Lý giống nhau, 3 quyển Hóa giống nhau và 3 quyển Sinh giống nhau. Có bao nhiêu cách xếp thành một dãy sao cho 3 quyển sách thuộc cung 1 môn không được xếp liền nhau?","[G] Thầy hướng dẫn nhé: 3 cuốn sách Toán có 2 vị trí trống và thêm hai vị trí hai đầu, tổng cộng có 4 vị trí ",5,G,25,0.05,"Xác suất này dễ, em làm được ngay. (Q32)"
16/03/2026 14:08:00,HS33,trung bình,"Có 5 đoạn thẳng có độ dài lần lượt là 2,cm 4,cm 6,cm 8cm và 10cm . Lấy ngẫu nhiên 3 đoạn thẳng trong 5 đoạn thẳng trên, tính xác suất để 3 đoạn thẳng lấy ra lập thành một tam giác.",[G] Thầy hướng dẫn nhé: 3,5,G,71,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 14:10:00,HS60,giỏi,"Trong thư viện có 12 quyển sách gồm 3 quyển Toán giống nhau, 3 quyển Lý giống nhau, 3 quyển Hóa giống nhau và 3 quyển Sinh giống nhau. Có bao nhiêu cách xếp thành một dãy sao cho 3 quyển sách thuộc cung 1 môn không được xếp liền nhau?","[S] Chính xác! Đáp án đúng là A. Xếp 3 cuốn sách Toán kề nhau. Xem 3 cuốn sách Toán là 3 vách ngăn, giữa ",5,S,11,0.05,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 14:16:00,HS08,trung bình,"Gieo một con xúc xắc cân đối đồng chất 2 lần, tính xác suất để biến cố có tích 2 lần số chấm khi gieo xúc xắc là một số chẵn.",[P] Thầy hướng dẫn nhé: A  là biến cố ” Tích hai lần số chấm khi gieo xúc xắc là một số chẵn” . Ta xét các ,5,P,66,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 14:25:00,HS60,giỏi,"Một đội gồm 5 nam và 8 nữ. Lập một nhóm gồm 4 người hát tốp ca, tính xác suất để trong 4 người được chọn có ít nhất 3 nữ.",[S] Chính xác! Đáp án đúng là A. Không gian mẫu là chọn tùy ý 4 người từ 13 người. ,5,S,1,0.1,Câu này em giải như sau: (Q6)
16/03/2026 14:29:00,HS60,giỏi,"Đội tuyển học sinh giỏi của một trường THPT có 8 học sinh nam và 4 học sinh nữ. Trong buổi lễ trao phần thưởng, các học sinh trên được xếp thành một hàng ngang. Tính xác suất để khi xếp sao cho 2 học sinh nữ không đứng cạnh nhau.",[G] Thầy hướng dẫn nhé: ngang. Suy ra số phần tử của không gian mẫu là ,5,G,5,0.1,"Xác suất này dễ, em làm được ngay. (Q30)"
16/03/2026 14:37:00,HS60,giỏi,"Đội tuyển học sinh giỏi của một trường THPT có 8 học sinh nam và 4 học sinh nữ. Trong buổi lễ trao phần thưởng, các học sinh trên được xếp thành một hàng ngang. Tính xác suất để khi xếp sao cho 2 học sinh nữ không đứng cạnh nhau.",[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách sắp xếp tất cả 12 học sinh thành một hàng ,5,S,10,0.1,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 14:49:00,HS60,giỏi,Có 8 người khách bước ngẫu nhiên vào một cửa hàng có 3 quầy. Tính xác suất để 3 người cùng đến quầy thứ nhất.,[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách sắp xếp 8 người khách vào 3 quầy. Vì mỗi ,5,S,11,0.1,"Xác suất này dễ, em làm được ngay. (Q35)"
16/03/2026 15:05:00,HS60,giỏi,"Có 20 tấm thẻ được đánh số từ 1 đến 20 . Chọn ngẫu nhiên ra 8 tấm thẻ, tính xác suất để có 3 tấm thẻ mang số lẻ, 5 tấm thẻ mang số chẵn trong đó chỉ có đúng 1 tấm thẻ mang số chia hết cho 10 .",[S] Chính xác! Đáp án đúng là A. Không gian mẫu là cách chọn 8 tấm thể trong 20 tấm thẻ. ,5,S,9,0.15,Câu này em giải như sau: (Q21)
16/03/2026 15:15:00,HS60,giỏi,"Một trường THPT có 10 lớp 12 , mỗi lớp cử 3 học sinh tham gia vẽ tranh cổ động. Các lớp tiến hành bắt tay giao lưu với nhau (các học sinh cùng lớp không bắt tay với nhau). Tính số lần bắt tay của các học sinh với nhau, biết rằng hai học sinh khác nhau ở hai lớp khác nhau chỉ bắt tay đúng 1 lần.",[S] Chính xác! Đáp án đúng là A. Mỗi lớp cử ra 3 học sinh nên 10 lớp cử ra 30 học sinh. ,4,S,5,0.15,Em tính dùng biến cố bù cho nhanh. (Q39)
16/03/2026 15:22:00,HS33,trung bình,"Có 5 đoạn thẳng có độ dài lần lượt là 2,cm 4,cm 6,cm 8cm và 10cm . Lấy ngẫu nhiên 3 đoạn thẳng trong 5 đoạn thẳng trên, tính xác suất để 3 đoạn thẳng lấy ra lập thành một tam giác.",[P] Thầy hướng dẫn nhé: 5 10.C    ,5,P,82,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 15:22:00,HS60,giỏi,"Cho tập hợp {0A  ; 1; 2; 3; 4; 5 } . Gọi S là tập hợp các số có 3 chữ số khác nhau được lập thành từ các chữ số của tập A . Chọn ngẫu nhiên một số từ S ,tính xác suất để số được chọn có chữ số cuối gấp đôi chữ số đầu. www.thuvienhoclieu.com www.thuvienhoclieu.com Trang 3",[G] Thầy hướng dẫn nhé: S  có dạng ,5,G,9,0.15,Câu này em giải như sau: (Q16)
16/03/2026 15:24:00,HS08,trung bình,"Gieo một con xúc xắc cân đối đồng chất 2 lần, tính xác suất để biến cố có tích 2 lần số chấm khi gieo xúc xắc là một số chẵn.",[S] Chính xác! Đáp án đúng là C. Số phần tử của không gian mẫu là ,5,S,86,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 15:32:00,HS60,giỏi,"Cho tập hợp {0A  ; 1; 2; 3; 4; 5 } . Gọi S là tập hợp các số có 3 chữ số khác nhau được lập thành từ các chữ số của tập A . Chọn ngẫu nhiên một số từ S ,tính xác suất để số được chọn có chữ số cuối gấp đôi chữ số đầu. www.thuvienhoclieu.com www.thuvienhoclieu.com Trang 3",[S] Chính xác! Đáp án đúng là C. Gọi số cần tìm của tập ,5,S,15,0.15,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 15:48:00,HS60,giỏi,Có 3 bì thư giố ng nhau lần lượt được đánh số thứ tự từ 1 đến 3 và 3 con tem giống nhau lần lượt đánh số thứ tự từ 1 đến 3 . Dán 3 con tem đó vào 3 bì thư sao cho không có bì thư nào không có tem. Tính xác suất để lấy ra được 2 bì thư trong 3 bì thư trên sao cho mỗi bì thư đều có số thứ tự giống với số thứ tự con tem đã dán vào nó.,"[S] Chính xác! Đáp án đúng là B. Không gian mẫu là số cách dán 3 con tem trên 3 bì thư, tức là hoán vị của ",5,S,18,0.2,Em tính dùng biến cố bù cho nhanh. (Q31)
16/03/2026 16:11:00,HS60,giỏi,"Cho tập hợp  2;3;4;5;6;7;8A  . Gọi S là tập hợp các số tự nhiên có 4 chữ số đôi một khác nhau được lập thành từ các chữ số của tập A . Chọn ngẫu nhiên một số từ S , tính xác suất để số được chọn mà trong mỗi số luôn luôn có mặt hai chữ số chẵn và hai chữ số lẻ.",[S] Chính xác! Đáp án đúng là D. Số phần tử của tập ,5,S,14,0.2,Câu này em giải như sau: (Q17)
16/03/2026 16:30:00,HS60,giỏi,"Một lớp học có 40 học sinh trong đó có 4 cặp anh em sinh đôi. Trong buổi họp đầu năm thầy giáo chủ nhiệm lớp muốn chọn ra 3 học sinh để làm cán sự lớp gồm lớp trưởng, lớp phó và bí thư. Tính xác suất để chọn ra 3 học sinh làm cán sự lớp mà không có cặp anh em sinh đôi nào.",[S] Chính xác! Đáp án đúng là A. Không gian mẫu là số cách chọn ngẫu nhiên 3 học sinh trong 40 học sinh. ,5,S,10,0.2,Câu này em giải như sau: (Q37)
16/03/2026 16:42:00,HS60,giỏi,"Giải bóng chuyền VTV Cup gồm 9 đội bóng tham dự, trong đó có 6 đội nước ngoài và 3 đội của Việt Nam. Ban tổ chức cho bốc thăm ngẫu nhiên để chia thành 3 bảng ,A ,B C và mỗi bảng có 3đội. Tính xác suất để 3 đội bóng của Việt Nam ở 3 bảng khác nhau.",[S] Chính xác! Đáp án đúng là C. Không gian mẫu là số cách chia tùy ý 9 đội thành 3 bảng. ,5,S,6,0.25,"Xác suất này dễ, em làm được ngay. (Q24)"
16/03/2026 16:47:00,HS33,trung bình,"Có 5 đoạn thẳng có độ dài lần lượt là 2,cm 4,cm 6,cm 8cm và 10cm . Lấy ngẫu nhiên 3 đoạn thẳng trong 5 đoạn thẳng trên, tính xác suất để 3 đoạn thẳng lấy ra lập thành một tam giác.",[S] Chính xác! Đáp án đúng là A. Không gian mẫu là số cách lấy 3 đoạn thẳng từ 5 đoạn thẳng. ,5,S,97,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 16:53:00,HS60,giỏi,"Có 3 bó hoa. Bó thứ nhất có 8 hoa hồng, bó thứ hai có 7 bông hoa ly, bó thứ ba có 6 bông hoa huệ. Chọn ngẫu nhiên 7 hoa từ ba bó hoa trên để cắm vào lọ hoa, tính xác suất để trong 7 hoa được chọn có số hoa hồng bằng số hoa ly.",[G] Thầy hướng dẫn nhé: Suy ra số phần tử của không gian mẫu là ,5,G,2,0.25,Em tính dùng biến cố bù cho nhanh. (Q9)
16/03/2026 16:55:00,HS08,trung bình,"Một chiếc hộp đựng 7 viên bi màu xanh, 6 viên bi màu đen, 5 viên bi màu đỏ, 4 viên bi màu trắng. Chọn ngẫu nhiên ra 4 viên bi, tính xác suất để lấy được ít nhất 2 viên bi cùng màu.",[G] Thầy hướng dẫn nhé: Suy ra số phần tử của không gian mẫu là ,5,G,61,0.0,Em chưa hiểu cách tính không gian mẫu bài này. (Q11)
16/03/2026 16:59:00,HS60,giỏi,"Có 3 bó hoa. Bó thứ nhất có 8 hoa hồng, bó thứ hai có 7 bông hoa ly, bó thứ ba có 6 bông hoa huệ. Chọn ngẫu nhiên 7 hoa từ ba bó hoa trên để cắm vào lọ hoa, tính xác suất để trong 7 hoa được chọn có số hoa hồng bằng số hoa ly.",[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách chọn ngẫu nhiên 7 hoa từ ba bó hoa gồm 21 hoa. ,5,S,17,0.25,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 17:18:00,HS60,giỏi,"Trong một hộp có 50 viên bi được đánh số từ 1 đến 50. Chọn ngẫu nhiên 3 viên bi trong hộp, tính xác suất để tổng ba số trên 3 viên bi được chọn là một số chia hết cho 3.",[G] Thầy hướng dẫn nhé: bi. Suy ra số phần tử của không gian mẫu là ,5,G,21,0.25,Câu này em giải như sau: (Q15)
16/03/2026 17:44:00,HS60,giỏi,"Trong một hộp có 50 viên bi được đánh số từ 1 đến 50. Chọn ngẫu nhiên 3 viên bi trong hộp, tính xác suất để tổng ba số trên 3 viên bi được chọn là một số chia hết cho 3.",[S] Chính xác! Đáp án đúng là B. Không gian mẫu là số cách chọn ngẫu nhiên 3 viên bi từ hộp chứa 50 viên ,5,S,18,0.25,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 17:57:00,HS08,trung bình,"Một chiếc hộp đựng 7 viên bi màu xanh, 6 viên bi màu đen, 5 viên bi màu đỏ, 4 viên bi màu trắng. Chọn ngẫu nhiên ra 4 viên bi, tính xác suất để lấy được ít nhất 2 viên bi cùng màu.",[G] Thầy hướng dẫn nhé: 4,5,G,77,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 18:07:00,HS60,giỏi,Gieo ba con súc sắc. Xác suất để số chấm xuất hiện trên ba con súc sắc như nhau là?,[G] Thầy hướng dẫn nhé: 6.6.6 36.    ,4,G,11,0.3,"Xác suất này dễ, em làm được ngay. (Q5)"
16/03/2026 18:23:00,HS60,giỏi,Gieo ba con súc sắc. Xác suất để số chấm xuất hiện trên ba con súc sắc như nhau là?,[S] Chính xác! Đáp án đúng là C. Số phần tử của không gian mẫu là ,4,S,2,0.3,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 18:27:00,HS60,giỏi,Một người có 10 đôi giày khác nhau và trong lúc đi du lịch vội vã lấy ngẫu nhiên 4 chiếc. Tính xác suất để trong 4 chiếc giày lấy ra có ít nhất một đôi.,[G] Thầy hướng dẫn nhé: Suy ra số phần tử của không gian mẫu là ,5,G,17,0.3,"Xác suất này dễ, em làm được ngay. (Q38)"
16/03/2026 18:29:00,HS33,trung bình,Gọi S là tập hợp các số tự nhiên có hai chữ số. Chọn ngẫu nhiên đồng thời hai số từ tập hợp S . Tính xác suất để hai số được chọn có chữ số hàng đơn vị giống nhau.,[G] Thầy hướng dẫn nhé: S  là ,5,G,62,0.0,Câu này 'ít nhất' là sao hả thầy? (Q22)
16/03/2026 18:34:00,HS18,giỏi,"Gọi S là tập hợp các số tự nhiên có 3 chữ số đôi một khác nhau được lập thành từ các chữ số 1; 2; 3; 4; 6 . Chọn ngẫu nhiên một số từ S , tính xác xuất để số được chọn chia hết cho 3 .",[S] Chính xác! Đáp án đúng là C. Số phần tử của ,5,S,1,0.0,"Xác suất này dễ, em làm được ngay. (Q18)"
16/03/2026 18:39:00,HS18,giỏi,Gieo một đồng tiền cân đối và đồng chất bốn lần. Xác suất để cả bốn lần xuất hiện mặt sấp là?,[S] Chính xác! Đáp án đúng là C. Số phần tử của không gian mẫu là ,3,S,5,0.0,"Xác suất này dễ, em làm được ngay. (Q1)"
16/03/2026 18:46:00,HS60,giỏi,Một người có 10 đôi giày khác nhau và trong lúc đi du lịch vội vã lấy ngẫu nhiên 4 chiếc. Tính xác suất để trong 4 chiếc giày lấy ra có ít nhất một đôi.,[S] Chính xác! Đáp án đúng là C. Không gian mẫu là số cách chọn ngẫu nhiên 4 chiếc giày từ 20 chiếc giày. ,5,S,2,0.3,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 18:49:00,HS18,giỏi,Gọi S là tập hợp các số tự nhiên có hai chữ số. Chọn ngẫu nhiên đồng thời hai số từ tập hợp S . Tính xác suất để hai số được chọn có chữ số hàng đơn vị giống nhau.,[S] Chính xác! Đáp án đúng là A. Số phần tử của tập ,5,S,7,0.0,Câu này em giải như sau: (Q22)
16/03/2026 18:50:00,HS60,giỏi,"Trong một buổi liên hoan có 10 cặp nam nữ, trong đó có 4 cặp vợ chồng. Chọn ngẫu nhiên 3 người để biểu diễn một tiết mục văn nghệ. Tính xác suất để 3 người được chọn không có cặp vợ chồng nào.",[G] Thầy hướng dẫn nhé: Suy ra số phần tử không gian mẫu là ,5,G,1,0.3,"Xác suất này dễ, em làm được ngay. (Q36)"
16/03/2026 18:54:00,HS60,giỏi,"Trong một buổi liên hoan có 10 cặp nam nữ, trong đó có 4 cặp vợ chồng. Chọn ngẫu nhiên 3 người để biểu diễn một tiết mục văn nghệ. Tính xác suất để 3 người được chọn không có cặp vợ chồng nào.",[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách chọn ngẫu nhiên 3 người trong 20 người. ,5,S,20,0.3,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 18:59:00,HS18,giỏi,"Trong giải cầu lông kỷ niệm ngày truyền thống học sinh sinh viên có 8 người tham gia trong đó có hai bạn Việt và Nam. Các vận động viên được chia làm hai bảng A và B , mỗi bảng gồm 4 người. Giả sử việc chia bảng thực hiện bằng cách bốc thăm ngẫu nhiên, tính xác suất để cả 2 bạn Việt và Nam nằm chung 1 bảng đấu.",[G] Thầy hướng dẫn nhé: Suy ra số phần tử của không gian mẫu là ,5,G,6,0.05,"Xác suất này dễ, em làm được ngay. (Q25)"
16/03/2026 19:09:00,HS18,giỏi,"Trong giải cầu lông kỷ niệm ngày truyền thống học sinh sinh viên có 8 người tham gia trong đó có hai bạn Việt và Nam. Các vận động viên được chia làm hai bảng A và B , mỗi bảng gồm 4 người. Giả sử việc chia bảng thực hiện bằng cách bốc thăm ngẫu nhiên, tính xác suất để cả 2 bạn Việt và Nam nằm chung 1 bảng đấu.",[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách chia tùy ý 8 người thành 2 bảng. ,5,S,1,0.05,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 19:11:00,HS18,giỏi,"Trong một kỳ thi vấn đáp thí sinh A phải đứng trước ban giám khảo chọn ngẫu nhiên 3 phiếu câu hỏi từ một thùng phiếu gồm 50 phiếu câu hỏi, trong đó có 4 cặp phiếu câu hỏi mà mỗi cặp phiếu có nội dung khác nhau từng đôi một và trong mỗi một cặp phiếu có nội dung giống nhau. Tính xác suất để thí sinh A chọn được 3 phiếu câu hỏi có nội dung khác nhau.",[S] Chính xác! Đáp án đúng là D. Không gian mẫu là số cách chọn tùy ý 3 phiếu câu hỏi từ 50 phiếu câu hỏi. ,5,S,1,0.05,"Xác suất này dễ, em làm được ngay. (Q27)"
16/03/2026 19:13:00,HS18,giỏi,"Một bộ đề thi toán học sinh giỏi lớp 12 mà mỗi đề gồm 5 câu được chọn từ 15 câu dễ, 10 câu trung bình và 5 câu khó. Một đề thi được gọi là” Tốt ” nếu trong đề thi có cả ba câu dễ, trung bình và khó, đồng thời số câu dễ không ít hơn 2 . Lấy ngẫu nhiên một đề thi trong bộ đề trên. Tìm xác suất để đề thi lấy ra là một đề thi ” Tốt ” . www.thuvienhoclieu.com www.thuvienhoclieu.com Trang 4",[S] Chính xác! Đáp án đúng là D. Số phần tử của không gian mẫu là ,5,S,15,0.05,Câu này em giải như sau: (Q26)
16/03/2026 19:15:00,HS60,giỏi,"Có 13 học sinh của một trường THPT đạt danh hiệu học sinh xuất sắc trongđó khối 12 có 8 học sinh nam và 3 học sinh nữ, khối 11 có 2 học sinh nam. Chọn ngẫu nhiên 3 học sinh bất kỳ để trao thưởng, tính xác suất để 3 học sinh được chọn có cả nam và nữ đồng thời có cả khối 11 và khối 12 .",[G] Thầy hướng dẫn nhé: Suy ra số phần tử của không gian mẫu là ,5,G,8,0.35,"Xác suất này dễ, em làm được ngay. (Q10)"
16/03/2026 19:19:00,HS08,trung bình,"Một chiếc hộp đựng 7 viên bi màu xanh, 6 viên bi màu đen, 5 viên bi màu đỏ, 4 viên bi màu trắng. Chọn ngẫu nhiên ra 4 viên bi, tính xác suất để lấy được ít nhất 2 viên bi cùng màu.",[P] Thầy hướng dẫn nhé: 22 7315.C    ,5,P,52,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 19:24:00,HS60,giỏi,"Có 13 học sinh của một trường THPT đạt danh hiệu học sinh xuất sắc trongđó khối 12 có 8 học sinh nam và 3 học sinh nữ, khối 11 có 2 học sinh nam. Chọn ngẫu nhiên 3 học sinh bất kỳ để trao thưởng, tính xác suất để 3 học sinh được chọn có cả nam và nữ đồng thời có cả khối 11 và khối 12 .",[S] Chính xác! Đáp án đúng là A. Không gian mẫu là số cách chọn ngẫu nhiên 3 học sinh từ 13 học sinh. ,5,S,2,0.35,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 19:30:00,HS60,giỏi,"Gọi S là tập hợp các số tự nhiên có 3 chữ số đôi một khác nhau được lập thành từ các chữ số 1; 2; 3; 4; 6 . Chọn ngẫu nhiên một số từ S , tính xác xuất để số được chọn chia hết cho 3 .",[S] Chính xác! Đáp án đúng là C. Số phần tử của ,5,S,4,0.35,Em tính dùng biến cố bù cho nhanh. (Q18)
16/03/2026 19:32:00,HS18,giỏi,Gieo một con súc sắc hai lần. Xác suất để ít nhất một lần xuất hiện mặt sáu chấm là?,[S] Chính xác! Đáp án đúng là B. Số phần tử của không gian mẫu là ,5,S,24,0.1,"Xác suất này dễ, em làm được ngay. (Q2)"
16/03/2026 19:33:00,HS33,trung bình,Gọi S là tập hợp các số tự nhiên có hai chữ số. Chọn ngẫu nhiên đồng thời hai số từ tập hợp S . Tính xác suất để hai số được chọn có chữ số hàng đơn vị giống nhau.,[G] Thầy hướng dẫn nhé: 9.10 90.  ,5,G,86,0.0,"Em hiểu rồi, bước tiếp theo thế nào ạ?"
16/03/2026 19:38:00,HS60,giỏi,"Gieo một con xúc xắc cân đối đồng chất 2 lần, tính xác suất để biến cố có tích 2 lần số chấm khi gieo xúc xắc là một số chẵn.",[S] Chính xác! Đáp án đúng là C. Số phần tử của không gian mẫu là ,5,S,2,0.35,Câu này em giải như sau: (Q4)
16/03/2026 19:43:00,HS60,giỏi,Gieo một con xúc xắc cân đối đồng chất 2 lần. Tính xác suất để biến cố có tổng hai mặt bằng 8.,[S] Chính xác! Đáp án đúng là A. Số phần tử của không gian mẫu là ,5,S,16,0.4,"Xác suất này dễ, em làm được ngay. (Q3)"
